	750	751	1000	1250	1500	1750	2000	2250	2500	3000	3500	4000	4500	5000	5500	6000	6250
0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2.5	0.00000000	1793.33689278	1535.41915500	1521.76803922	1514.77940822	1514.22418305	1470.88575819	1506.45007153	1540.91285615	1683.53117588	1751.10569139	1890.22227431	2044.81651112	2171.77411851	2304.59728858	2488.32607539	2488.36166699
5.0	0.00000000	996.98921483	866.40987711	858.03260246	853.30450709	852.69589265	837.47824529	848.32975124	865.56980162	930.97412761	974.90916363	1036.57372595	1117.24775945	1185.03414568	1255.67444587	1349.64428688	1349.66359142
10.0	0.00000000	640.08779860	542.27400890	526.41915147	522.92329446	522.55241037	518.99491117	517.87071760	527.51136066	557.76120741	576.21256089	612.83163040	654.18357697	693.68153887	731.61223322	777.58811725	777.60010917
15.0	0.00000000	511.98600894	431.90268073	416.36381938	413.59905844	412.84904271	409.75630273	408.08019238	415.06095548	432.20315755	443.86722166	466.42131635	499.35090232	529.19521695	557.01746667	587.47683825	587.48689990
20.0	0.00000000	446.78123184	375.98986487	359.73332443	357.72787559	356.85444073	357.36497519	354.95953672	359.16195277	368.20341101	379.14543676	393.69075384	421.78365418	446.49008614	469.03330840	492.52767844	492.53762685
25.0	0.00000000	408.80914862	343.89240927	328.52857427	324.68404241	323.89054373	327.04883955	323.26497201	325.32650040	330.64159753	341.22785709	351.93248440	375.73278909	397.03570543	416.68328619	435.54382945	435.55417345
30.0	0.00000000	385.94368667	321.91881211	307.40318517	302.92394524	302.23077619	305.82544408	301.24580556	302.44809397	306.41180645	316.21549594	324.71198498	345.61669629	364.42857921	381.97937527	397.77738907	397.78341125
40.0	0.00000000	356.84748474	292.37571162	276.98307696	275.31129943	274.79489052	274.41673554	272.07054129	273.62887330	276.78900823	283.96811524	292.94708538	309.34219140	324.34089726	338.40630645	350.59590552	350.53660928
